"IdLink","channel_name","active","LinkID","SrcDetectorId","SrcLatitude","SrcLongitude","DestDetectorId","DestLatitude","DestLongitude","LinkName","RouteDirectionName","SrcChannelId","DestChannelId","LineDistance_m","last_poll_time"
222,"Ste-Catherine-St-Hubert **",1,"LSH_93-81","93","45,5154333333333","-73,5588833333333","81","45,5144","-73,55665","St-Hubert: Ste-Catherine a René-Lévesque **","S",107,95,208,2019-07-02 18:45:02
223,"Ste-Catherine-St-Hubert **",1,"LSH_93-90","93","45,5154333333333","-73,5588833333333","90","45,5178833333333","-73,5642666666667","Ste-Hubert: St-Catherine a Ontario **","N",107,104,501,2019-07-02 18:45:02
224,"Ontario-St-Hubert **",1,"LSH_90-93","90","45,5178833333333","-73,5642666666667","93","45,5154333333333","-73,5588833333333","St-Hubert: Ontario a St-Catherine **","S",104,107,501,2019-07-02 18:45:00
225,"Maisonneuve-Berri **",1,"LBe_85-86","85","45,5153166666667","-73,5610833333333","86","45,5170333333333","-73,5647166666667","Berri: Maisonneuve a Ontario **","N",99,100,341,2019-07-02 18:44:42
226,"Ontario-Berri **",1,"LBe_86-85","86","45,5170333333333","-73,5647166666667","85","45,5153166666667","-73,5610833333333","Berri: Ontario a Maisonneuve **","S",100,99,341,2019-07-02 18:44:58
227,"Maisonneuve-Sanguinet **",1,"LSa_88-94","88","45,51345","-73,56275","94","45,5127833333333","-73,56125","Sanguinet: Maisonneuve a Ste-Catherine **","S",102,108,139,2019-07-02 18:44:57
228,"Ste-Catherine-Sanguinet **",1,"LSa_94-84","94","45,5127833333333","-73,56125","84","45,5117333333333","-73,5590666666667","Sanguinet: Ste-Catherine a René-Levesque **","S",108,98,206,2019-07-02 18:45:00
229,"Maisonneuve-Sanguinet **",1,"LSa_88-91","88","45,51345","-73,56275","91","45,5147666666667","-73,5656166666667","Sanguinet: Maisonneuve a Ontario **","N",102,105,267,2019-07-02 18:44:57
230,"Ontario-Sanguinet **",1,"LSa_91-95","91","45,5147666666667","-73,5656166666667","95","45,5158333333333","-73,5679666666667","Sanguinet: Ontario a Sherbrooke **","N",105,109,218,2019-07-02 18:45:01
231,"René-Lévesque-St-Laurent **",1,"LSL_82-76","82","45,50885","-73,5615666666667","76","45,5098666666667","-73,5638","St-Laurent: René-Lévesque a Ste-Catherine **","N",96,90,208,2019-07-02 18:44:57
232,"Ste-Catherine-St-Laurent **",1,"LSL_76-73","76","45,5098666666667","-73,5638","73","45,5106","-73,5653166666667","St-Laurent: Ste-Catherine a Maisonneuve **","N",90,87,144,2019-07-02 18:44:59
233,"Maisonneuve-St-Laurent **",1,"LSL_73-75","73","45,5106","-73,5653166666667","75","45,5112833333333","-73,5667833333333","St-Laurent: Maisonneuve a Ontario **","N",87,89,137,2019-07-02 18:45:01
234,"Ontario-St-Laurent **",1,"LSL_75-78","75","45,5112833333333","-73,5667833333333","78","45,5125166666667","-73,5694333333333","St-Laurent: Ontario a Sherbrooke **","N",89,92,248,2019-07-02 18:44:59
235,"Sherbrooke-St-Urbain **",1,"LSU_79-74","79","45,5110833333333","-73,57005","74","45,5099166666667","-73,56745","St-Urbain: Sherbrooke a Président-Kennedy **","S",93,88,240,2019-07-02 18:45:01
236,"Président-Kennedy-St-Urbain-Ontario **",1,"LSU_74-77","74","45,5099166666667","-73,56745","77","45,5086833333333","-73,5648166666667","St-Urbain: Président-Kennedy a Ste-Catherine **","S",88,91,247,2019-07-02 18:44:41
237,"Ste-Catherine-St-Urbain **",1,"LSU_77-83","77","45,5086833333333","-73,5648166666667","83","45,5077166666667","-73,5625833333333","St-Urbain: St-Catherine a René-Lévesque **","S",91,97,205,2019-07-02 18:45:00
238,"Beaver Hall-René-Lévesque **",1,"LBH_80-66","80","45,5030333333333","-73,5663833333333","66","45,5042833333333","-73,5687333333333","Beaver Hall: René-Lévesque a Ste-Catherine **","N",94,79,230,2019-07-02 18:44:40
239,"Aylmer-Ste-Catherine **",1,"LAy_66-65","66","45,5042833333333","-73,5687333333333","65","45,5052166666667","-73,5706333333333","Aylmer:Ste-Catherine a Maisonneuve **","N",79,80,181,2019-07-02 18:45:01
240,"Aylmer-Maisonneuve **",1,"LAy_65-67","65","45,5052166666667","-73,5706333333333","67","45,5061333333333","-73,5726333333333","Aylmer: Maisonneuve a Sherbrooke **","N",80,81,186,2019-07-02 18:44:59
241,"Ste-Catherine-Jeanne-Mance **",0,"LJM_71-70","71","45,50715","-73,5661666666667","70","45,5083833333333","-73,5687166666667","Jeanne-Mance: Ste-Catherine a Président-Kennedy **","N",85,84,241,2019-02-25 19:00:53
242,"Président-Kennedy-Jeanne-Mance **",0,"LJM_70-72","70","45,5083833333333","-73,5687166666667","72","45,5093333333333","-73,5708166666667","Jeanne-Mance: Président-Kennedy a Sherbrooke **","N",84,86,195,2019-02-20 20:28:40
243,"Pie-IX-Henri-Bourassa",1,"LPi_44-46","44","45,595805","-73,6425","46","45,5726933333333","-73,6053333333333","Pie-IX: Henri-Bourassa a Hérelle","S",57,59,3870,2019-07-02 18:44:59
244,"Saint-Michel-Henri-Bourassa",0,"LSM_09-11","9","45,583898","-73,650463","11","45,5639066666667","-73,6096133333333","Saint-Michel: Henri-Bourassa a Jarry","S",10,12,3880,
